Institution,Median Earnings - 6 Years Post-Entry (Scorecard)
George Mason University,60536.0
George Washington University,71607.0
Georgetown University,83222.0
Georgia College & State University,50644.0
Georgia Institute of Technology,89432.0
Georgia State University,37844.0
Gettysburg College,57274.0
Gonzaga University,66525.0
Goucher College,40563.0
Grinnell College,49004.0
Gustavus Adolphus College,51546.0
Hamilton College,60082.0
Hampshire College,22195.0
Hanover College,42876.0
Harvard University,99572.0
Harvey Mudd College,115107.0
Haverford College,53353.0
Hendrix College,39913.0
Hobart William Smith Colleges,62416.0
Hofstra University,52131.0
Hope College,49727.0
Howard University,47379.0
Illinois Institute of Technology,70803.0
Illinois Wesleyan University,56082.0
Indiana University-Bloomington,53417.0
Iowa State University,53873.0
Ithaca College,46305.0
James Madison University,57438.0
Johns Hopkins University,86306.0
Juniata College,48571.0
Kalamazoo College,46137.0
Kansas State University,49330.0
Kenyon College,46627.0
Kettering University,80275.0
Knox College,37757.0
Lafayette College,80614.0
Lake Forest College,51324.0
Lawrence University,40653.0
Le Moyne College,53493.0
Lehigh University,88810.0
Lewis & Clark College,43608.0
Louisiana State University,49218.0
Loyola Marymount University,62763.0
Loyola University Chicago,58411.0
Loyola University Maryland,64453.0
Macalester College,46244.0
Maine Maritime Academy,93944.0
Marist College,62546.0
Marquette University,65241.0
Massachusetts Institute of Technology,131633.0
Mercer University,50231.0
Miami University-Oxford,49773.0
Michigan State University,55084.0
Michigan Technological University,69672.0
Middlebury College,57291.0
Milwaukee School of Engineering,75114.0
Mississippi State University,43487.0
Missouri University of Science and Technology,69295.0
Montana State University,44757.0
Morehouse College,38267.0
Mount Holyoke College,48590.0
Muhlenberg College,53265.0
New College of Florida,32611.0
New Jersey Institute of Technology,69591.0
New Mexico Institute of Mining and Technology,54530.0
New York University,64543.0
North Carolina State University,57623.0
Northeastern University,78413.0
Northwestern University,76844.0
Oberlin College,38871.0
Occidental College,52209.0
Ohio State University,51438.0
Ohio University,48991.0
Ohio Wesleyan University,42495.0
Oregon State University,50843.0
Pennsylvania State University,55620.0
Pepperdine University,64934.0
Pitzer College,51784.0
Pomona College,60850.0
Pratt Institute-Main,45060.0
Princeton University,87815.0
Providence College,69326.0
Purdue University-Main Campus,60838.0
Quinnipiac University,65744.0
Ramapo College of New Jersey,53872.0
Reed College,38607.0
Rensselaer Polytechnic Institute,83054.0
Rhode Island School of Design,45932.0
Rhodes College,48898.0
Rice University,79751.0
Rochester Institute of Technology,65457.0
Rollins College,48239.0
Rose-Hulman Institute of Technology,85935.0
Rowan University,50705.0
Rutgers University-Camden,61263.0
Rutgers University-New Brunswick,61263.0
Rutgers University-Newark,61263.0
Saint Anselm College,63347.0
Saint Louis University,60716.0
Saint Michael's College,46898.0
San Diego State University,52620.0
San Jose State University,62448.0
Santa Clara University,91198.0
Sarah Lawrence College,34251.0
Scripps College,68027.0
Seattle University,64656.0
Siena College,56526.0
Simmons University,61420.0
Skidmore College,46923.0
Smith College,45731.0
Soka University of America,42696.0
Southern Methodist University,65556.0
Southwestern University,49249.0
Spelman College,45676.0
St. Lawrence University,55037.0
St. Olaf College,48373.0
St. John's College (MD),34483.0
St. John's College (NM),33770.0
St. Mary's College of Maryland,52286.0
Stanford University,102887.0
State University of New York at New Paltz,45555.0
Stetson University,44792.0
Stevens Institute of Technology,90326.0
Stonehill College,63285.0
Stony Brook University,59492.0
SUNY at Purchase College,31229.0
SUNY College at Geneseo,51097.0
SUNY College of Environmental Science and Forestry,48327.0
Swarthmore College,56211.0
Syracuse University,60459.0
Temple University,50860.0
Texas A&M University-College Station,59386.0
Texas Christian University,60435.0
Texas Tech University,52588.0
The College of New Jersey,62649.0
The College of Wooster,43895.0
The New School,38210.0
The University of Alabama,52233.0
The University of Montana,35729.0
The University of Tampa,48397.0
The University of Tennessee-Knoxville,47782.0
The University of Texas at Austin,60896.0
The University of Texas at Dallas,57249.0
The University of the South,53456.0
Thomas Aquinas College,40605.0
Thomas Jefferson University,64335.0
Towson University,54302.0
Trinity College,67628.0
Trinity University,55224.0
Truman State University,43966.0
Tufts University,68337.0
Tulane University of Louisiana,50220.0
Union College,63219.0
United States Merchant Marine Academy,96770.0
University at Buffalo,53742.0
University of Alabama at Birmingham,46572.0
University of Arizona,47665.0
University of Arkansas,49686.0
University of California-Berkeley,74919.0
University of California-Davis,58461.0
University of California-Irvine,56210.0
University of California-Los Angeles,59063.0
University of California-Merced,48475.0
University of California-Riverside,48593.0
University of California-San Diego,65669.0
University of California-Santa Barbara,56852.0
University of California-Santa Cruz,49716.0
University of Central Florida,47137.0
University of Chicago,80870.0
University of Cincinnati-Main Campus,48310.0
University of Colorado-Boulder,54939.0
University of Connecticut,63322.0
University of Dallas,45950.0
University of Delaware,58846.0
University of Denver,57118.0
University of Florida,56398.0
University of Georgia,57565.0
University of Houston,52768.0
University of Idaho,42602.0
University of Illinois at Chicago,53218.0
University of Illinois at Urbana-Champaign,64802.0
University of Iowa,52696.0
University of Kansas,51217.0
University of Kentucky,47266.0
University of Louisville,46571.0
University of Maine,43124.0
University of Mary Washington,49411.0
University of Maryland-Baltimore County,55137.0
University of Maryland-College Park,67785.0
University of Massachusetts-Amherst,60347.0
University of Massachusetts-Boston,53521.0
University of Massachusetts-Lowell,61467.0
University of Miami,61508.0
University of Michigan,73762.0
University of Minnesota-Duluth,52840.0
University of Minnesota-Morris,43163.0
University of Minnesota-Twin Cities,57984.0
University of Mississippi,45336.0
University of Missouri-Columbia,52756.0
University of Nebraska-Lincoln,47692.0
University of Nevada-Las Vegas,42865.0
University of Nevada-Reno,49182.0
University of New Hampshire,53671.0
University of North Carolina at Asheville,36947.0
University of North Carolina at Chapel Hill,57057.0
University of North Carolina at Charlotte,48812.0
University of North Carolina at Greensboro,39869.0
University of North Carolina-Wilmington,46972.0
University of Notre Dame,86210.0
University of Oklahoma,52216.0
University of Oregon,46084.0
University of Pennsylvania,90555.0
University of Pittsburgh,54240.0
University of Portland,67913.0
University of Puget Sound,46802.0
University of Redlands,61686.0
University of Rhode Island,57446.0
University of Richmond,67927.0
University of Rochester,68333.0
University of San Diego,64995.0
University of San Francisco,69951.0
University of Scranton,62921.0
University of South Carolina,50621.0
University of South Florida,48328.0
University of Southern California,74461.0
University of St. Thomas (MN),62412.0
University of Utah,55239.0
University of Vermont,48164.0
University of Virginia,72359.0
University of Washington-Bothell Campus,62979.0
University of Washington-Seattle,62979.0
University of Wisconsin-Madison,61275.0
Ursinus College,54542.0
Vanderbilt University,73909.0
Vassar College,49177.0
Villanova University,84905.0
Virginia Commonwealth University,47161.0
Virginia Tech,67377.0
Wabash College,52667.0
Wake Forest University,67722.0
Washington and Lee University,76516.0
Washington College,48763.0
Washington State University,53510.0
Washington University in St. Louis,78073.0
Wellesley College,65961.0
Wentworth Institute of Technology,71868.0
Wesleyan University,60385.0
West Chester University of Pennsylvania,51013.0
West Virginia University,45181.0
Westmont College,53737.0
Wheaton College (IL),50270.0
Wheaton College (MA),51607.0
Whitman College,45594.0
Whittier College,46025.0
Willamette University,38932.0
Williams College,71754.0
Wofford College,52076.0
Worcester Polytechnic Institute,85038.0
Yale University,81765.0
Yeshiva University,60252.0
